代理商 (Division),客户,客户名称,渠道分类,客户分类,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales)
温州赫利佳,9100037276,温州黄秀清百货,批发商,WS,,"31,780.00","82,362.40","13,331.20","6,356.00","19,068.00",,"3,178.00",,"17,518.40",,,,,,"173,594.00"
温州赫利佳,9100037320,温州水头丰联超市,小型超级市场,Non-KA,,237.43,288.98,,,,,,,,,,,,,526.41
温州赫利佳,9100038011,温州平阳敖江横街25号,食杂店,Non-KA,,,,569.44,,,,432.72,,93.12,31.69,480.40,35.72,740.78,,"2,383.87"
温州赫利佳,9100038091,温州无花果超市平阳店,小型超级市场,Non-KA,"3,009.34","2,914.93","3,468.69","2,178.48","3,107.70",576.96,"2,004.93","3,214.18","2,470.51","1,718.90","2,764.20",702.55,"3,794.09","6,090.84",,"38,016.30"
温州赫利佳,9100038709,温州民顺超市,小型超级市场,Non-KA,347.96,779.84,"1,368.13","1,052.80","1,132.68",513.68,283.20,"1,126.46",807.67,250.32,431.36,690.49,951.34,"1,070.19",,"10,806.12"
温州赫利佳,9100041462,温州钱仓家禾嘉超市,小型超级市场,Non-KA,"2,014.33","1,856.85","1,781.11",992.64,"1,716.40","1,599.79","3,060.21","1,831.05","1,758.62","2,103.60","2,095.28",822.75,"1,438.24","1,725.81",,"24,796.68"
温州赫利佳,9100041535,温州水头好当家便利店,食杂店,Non-KA,411.86,"1,276.58","1,651.24",520.32,142.88,392.78,705.36,276.44,300.85,234.56,144.24,298.30,576.96,317.38,,"7,249.75"
温州赫利佳,9100042018,温州宜山大姆士超市,小型超级市场,Non-KA,"2,269.29","1,056.30",,,"2,145.47",915.03,"1,237.60","3,179.43",416.65,"2,518.69",,,"1,541.16",,,"15,279.62"
温州赫利佳,9100042110,温州德福超市(芦蒲店),食杂店,Non-KA,843.05,,,606.08,,950.82,310.41,487.36,151.70,653.23,405.76,144.24,547.62,541.58,,"5,641.85"
温州赫利佳,9100042113,温州新金龙超市,小型超级市场,Non-KA,"1,640.65","1,272.96",655.14,288.48,215.68,276.18,550.00,848.64,591.05,602.84,359.98,382.84,234.56,158.90,,"8,077.90"
温州赫利佳,9100042114,温州钱项路26号 丽霞,食杂店,Non-KA,,220.09,,,,,,,,,,,,,,220.09
温州赫利佳,9100042288,温州倪垟家乐超市,小型超级市场,Non-KA,,,,796.75,"1,876.56","2,056.74","2,317.46",752.88,"3,421.52","2,831.76","2,542.40",527.60,"1,375.99",802.69,,"19,302.35"
